,motivatedforjob,motivatedforadvancement,motivatedforitcert,Race/ethnicity,Gender,Age ,degreeprogram,firstchoiceorchanged
32,,,,Asian,I do not identify,65+,Finance/Business ,
33,Yes,No,No,Hispanic or Latino,Woman,18 and younger,Computer Science,First Choice
34,Yes,No,No,Asian,Woman,18 and younger,Computer Science,First Choice
35,Yes,No,Yes,White/Caucasian,Man,19-20,Information Technology,First Choice
36,Yes,Yes,Yes,White/Caucasian,Man,25-34,Computer Science,First Choice
37,No,No,Yes,American Indian/Native American/Alaska Native,Woman,19-20,Challenger Program,Business
38,Yes,No,No,Asian,Man,18 and younger,Computer Science,First Choice
39,Yes,Yes,Yes,Hispanic or Latino,Man,21-24,Information Technology,Math & Science -> Psychology -> Liberal Arts -> IT
40,,,,Hispanic or Latino,Man,21-24,Non Degree seeking,
41,Yes,No,No,White/Caucasian,Man,18 and younger,Computer Science,First Choice
42,Yes,No,No,Asian,Man,19-20,Computer Science,First Choice
43,Yes,Yes,Yes,Hispanic or Latino,Woman,18 and younger,Computer Science,First Choice
44,Yes,No,Yes,White/Caucasian,Man,19-20,Computer Science,Business
45,Yes,Yes,No,Hispanic or Latino,Man,19-20,Computer Science,First Choice
46,Yes,Yes,Yes,Hispanic or Latino,Woman,19-20,Computer Science,First Choice
47,Yes,Yes,No,Asian,Man,18 and younger,Computer Science,First Choice
48,Yes,Yes,Yes,Hispanic or Latino;White/Caucasian,Woman,19-20,CIS Game Development Option,First Choice
49,No,Yes,No,White/Caucasian,Man,19-20,"Technical Studies, Applied Associate of Science",Engineering
50,Yes,Yes,No,Hispanic or Latino,Man,19-20,Computer Science,Radiography
51,Yes,Yes,Yes,White/Caucasian,Man,18 and younger,Computer Science,First Choice
52,,,,Hispanic or Latino,Man,18 and younger,Changed to Business ,
53,No,Yes,No,Hispanic or Latino;White/Caucasian,Man,21-24,CIS Game Development Option,History
54,Yes,Yes,No,Choose not to reply,Man,19-20,Computer Science,First Choice
55,,,,White/Caucasian,Man,19-20,Mechanical Engineering Technology,
56,Yes,Yes,No,Hispanic or Latino,Man,21-24,Computer Science,Business
57,Yes,No,No,White/Caucasian,Man,19-20,Computer Science,First Choice
58,,,,Hispanic or Latino,Man,19-20,Mechanical Engineering,
59,Yes,Yes,No,White/Caucasian,Man,19-20,Computer Science,Business
60,No,No,No,Hispanic or Latino;White/Caucasian,Man,18 and younger,CIS Game Development Option,First Choice
61,Yes,Yes,No,White/Caucasian,Man,21-24,CIS Game Development Option,First Choice
62,Yes,Yes,No,Multi-Racial,Man,21-24,Computer Science,First Choice
63,,,,Hispanic or Latino,Man,19-20,Mechanical Engineering,
64,Yes,No,No,American Indian/Native American/Alaska Native;Multi-Racial,Woman,18 and younger,Computer Science,Science
65,Yes,No,No,White/Caucasian,Man,18 and younger,CIS Game Development Option,LIberal Arts
66,Yes,No,Yes,White/Caucasian,Prefer not to say,19-20,Information Technology,First Choice
67,,,,White/Caucasian,Man,18 and younger,mechanical engineering technology,
68,,,,Hispanic or Latino;White/Caucasian,Woman,18 and younger,edam,
69,No,Yes,No,Choose not to reply,Man,18 and younger,Challenger Program,Engineering
